Z	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
40	0	39	0	0	1	5	4	2	0	0	9	0	0	0	0	1	18	0	11	1
63	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0
67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
35	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	27	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
