#cleaned version removed '.1' from all the accessions.
Assembly	Genome_Acc	RefSeq_Acc	GenBank_Acc	NCBI_name
ASM15162v1	DF091578	NW_004581353	DF091578	GPS_001612245
ASM15162v1	DF091579	NW_004581354	DF091579	GPS_001612246
ASM15162v1	DF091580	NW_004581355	DF091580	GPS_001612247
ASM15162v1	DF091581	NW_004581356	DF091581	GPS_001612248
ASM15162v1	DF091582	NW_004581357	DF091582	GPS_001612249
ASM15162v1	DF091583	NW_004581358	DF091583	GPS_001612250
ASM15162v1	DF091584	NW_004581359	DF091584	GPS_001612251
ASM15162v1	DF091585	NW_004581360	DF091585	GPS_001612252
ASM15162v1	DF091586	NW_004581361	DF091586	GPS_001612253
ASM15162v1	DF091587	NW_004581362	DF091587	GPS_001612254
ASM15162v1	DF091588	NW_004581363	DF091588	GPS_001612255
ASM15162v1	DF091589	NW_004581364	DF091589	GPS_001612256
ASM15162v1	DF091590	NW_004581365	DF091590	GPS_001612257
ASM15162v1	DF091591	NW_004581366	DF091591	GPS_001612258
ASM15162v1	DF091592	NW_004581367	DF091592	GPS_001612259
ASM15162v1	DF091593	NW_004581368	DF091593	GPS_001612260
ASM15162v1	DF091594	NW_004581369	DF091594	GPS_001612261
ASM15162v1	DF091595	NW_004581370	DF091595	GPS_001612262
ASM15162v1	DF091596	NW_004581371	DF091596	GPS_001612263
ASM15162v1	DF091597	NW_004581372	DF091597	GPS_001612264
ASM15162v1	DF091598	NW_004581373	DF091598	GPS_001612265
ASM15162v1	DF091599	NW_004581374	DF091599	GPS_001612266
ASM15162v1	DF091600	NW_004581375	DF091600	GPS_001612267
ASM15162v1	DF091601	NW_004581376	DF091601	GPS_001612268
ASM15162v1	DF091602	NW_004581377	DF091602	GPS_001612269
ASM15162v1	DF091603	NW_004581378	DF091603	GPS_001612270
ASM15162v1	DF091604	NW_004581379	DF091604	GPS_001612271
ASM15162v1	DF091605	NW_004581380	DF091605	GPS_001612272
ASM15162v1	DF091606	NW_004581381	DF091606	GPS_001612273
ASM15162v1	DF091607	NW_004581382	DF091607	GPS_001612274
ASM15162v1	DF091608	NW_004581383	DF091608	GPS_001612275
ASM15162v1	DF091609	NW_004581384	DF091609	GPS_001612276
ASM15162v1	DF091610	NW_004581385	DF091610	GPS_001612277
ASM15162v1	DF091611	NW_004581386	DF091611	GPS_001612278
